,Point,X,Y,Phi
0,0.0,0.0,0.0,0.0
1,1.0,-47.7,158.49,1.55
2,2.0,-115.09,79.93,3.41
3,3.0,-11.03,-275.76,4.38
4,4.0,138.95,-251.37,-0.25
5,5.0,101.69,-81.39,1.32
6,6.0,-261.28,26.32,2.22
7,7.0,-323.83,-97.73,3.82
8,8.0,-151.43,-213.62,5.22
9,9.0,-15.81,-78.87,0.23
10,10.0,-89.83,232.85,1.08
11,11.0,-252.6,248.73,2.55
12,12.0,-251.01,110.51,4.15
13,13.0,25.45,-115.2,4.86
14,14.0,134.42,-35.2,0.23
15,15.0,55.28,174.16,1.46
16,16.0,-100.39,115.33,2.98
17,17.0,-144.85,-236.62,3.84
18,18.0,3.3,-320.86,5.27
19,19.0,33.85,-217.05,0.75
20,20.0,-182.78,155.04,1.32
21,21.0,-281.88,122.42,3.05
22,22.0,-274.54,-110.31,4.22
23,23.0,-70.96,-111.35,-0.56
24,24.0,98.85,195.36,0.44
25,25.0,-29.06,267.13,2.15
26,26.0,-87.62,134.09,3.84
27,27.0,182.01,-176.84,4.79
28,28.0,331.22,-110.38,-0.01
29,29.0,248.41,-27.14,1.78
